user_id,x_m,y_m,z_m,demand
1,699,164,0,1
2,26,182,23,1.25
3,176,245,25,1.5
4,250,126,37,1.75
5,679,370,15,2
6,86,223,22,1
7,311,167,40,1.25
8,591,379,18,1.5
9,648,880,117,1.75
10,591,609,14,2
11,758,102,0,1
12,660,322,15,1.25
13,730,386,0,1.5
14,413,96,31,1.75
15,949,789,117,2
16,605,356,12,1
17,824,821,120,1.25
18,708,734,118,1.5
19,407,13,34,1.75
20,772,813,121,2
21,845,856,115,1
22,156,55,38,1.25
23,597,563,12,1.5
24,386,112,41,1.75
25,171,207,25,2
26,831,790,126,1
27,700,352,13,1.25
28,326,0,29,1.5
29,550,707,14,1.75
30,612,658,11,2
31,220,185,23,1
32,696,254,0,1.25
33,316,72,37,1.5
34,781,895,120,1.75
35,228,248,23,2
36,794,803,120,1
37,624,613,10,1.25
38,742,448,0,1.5
39,85,295,30,1.75
40,790,245,0,2
41,169,275,25,1
42,313,162,36,1.25
43,727,793,121,1.5
44,693,636,9,1.75
45,505,293,14,2
46,773,829,120,1
47,50,344,19,1.25
48,593,406,13,1.5
49,604,724,11,1.75
50,886,301,0,2
51,148,210,38,1
52,203,119,38,1.25
53,709,158,0,1.5
54,744,451,15,1.75
55,893,247,0,2
56,661,241,12,1
57,801,763,118,1.25
58,725,535,14,1.5
59,839,873,121,1.75
60,741,377,0,2
61,626,637,17,1
62,709,883,117,1.25
63,611,312,0,1.5
64,503,422,10,1.75
65,648,312,0,2
66,728,807,118,1
67,0,343,31,1.25
68,560,576,12,1.5
69,91,227,26,1.75
70,679,874,124,2
71,673,401,10,1
72,555,352,0,1.25
73,195,311,23,1.5
74,293,242,43,1.75
75,711,906,121,2
76,273,148,34,1
77,598,333,0,1.25
78,642,966,123,1.5
79,646,316,19,1.75
80,752,421,0,2
81,732,408,0,1
82,671,461,16,1.25
83,42,234,16,1.5
84,688,243,16,1.75
85,379,175,37,2
86,565,423,11,1
87,601,697,11,1.25
88,587,284,8,1.5
89,756,903,116,1.75
90,644,840,114,2
91,482,263,11,1
92,356,51,33,1.25
93,151,244,27,1.5
94,538,270,16,1.75
95,639,802,127,2
96,733,794,114,1
97,643,422,11,1.25
98,733,223,0,1.5
99,494,304,12,1.75
100,697,294,13,2
101,692,1000,118,1
102,662,239,13,1.25
103,580,440,3,1.5
104,757,155,0,1.75
105,779,284,0,2
106,664,314,6,1
107,634,630,9,1.25
108,372,158,38,1.5
109,595,423,14,1.75
110,708,850,121,2
111,790,88,0,1
112,8,225,25,1.25
113,661,241,0,1.5
114,245,157,34,1.75
115,601,397,10,2
116,309,58,42,1
117,742,967,128,1.25
118,672,282,0,1.5
119,196,349,24,1.75
120,681,319,14,2
121,584,811,9,1
122,807,341,0,1.25
123,657,317,0,1.5
124,142,211,18,1.75
125,821,194,0,2
126,584,441,10,1
127,594,696,10,1.25
128,388,266,31,1.5
129,309,39,33,1.75
130,410,244,39,2
131,518,575,11,1
132,584,662,12,1.25
133,763,217,0,1.5
134,273,238,37,1.75
135,223,122,36,2
136,668,777,119,1
137,103,309,21,1.25
138,602,663,12,1.5
139,209,333,29,1.75
140,715,709,14,2
141,504,248,18,1
142,122,299,23,1.25
143,160,337,23,1.5
144,402,54,38,1.75
145,257,89,34,2
146,113,298,27,1
147,673,161,0,1.25
148,611,963,120,1.5
149,728,950,121,1.75
150,51,320,24,2
151,137,169,20,1
152,764,585,16,1.25
153,602,427,16,1.5
154,636,228,0,1.75
155,251,289,24,2
156,154,431,21,1
157,609,308,15,1.25
158,242,11,35,1.5
159,21,285,23,1.75
160,527,594,18,2
161,664,961,117,1
162,183,152,38,1.25
163,654,190,0,1.5
164,630,297,8,1.75
165,728,611,8,2
166,410,114,33,1
167,738,630,13,1.25
168,560,593,10,1.5
169,283,149,34,1.75
170,204,269,24,2
171,564,407,9,1
172,694,209,0,1.25
173,780,922,113,1.5
174,863,357,0,1.75
175,652,163,16,2
176,23,287,17,1
177,738,264,0,1.25
178,246,130,39,1.5
179,372,140,35,1.75
180,891,790,124,2
181,607,348,7,1
182,703,370,10,1.25
183,908,322,0,1.5
184,689,828,121,1.75
185,701,851,121,2
186,758,960,125,1
187,535,353,11,1.25
188,794,225,0,1.5
189,731,763,119,1.75
190,202,291,23,2
191,797,278,0,1
192,359,137,38,1.25
193,598,695,8,1.5
194,707,400,7,1.75
195,632,269,0,2
196,562,378,0,1
197,708,145,0,1.25
198,868,219,0,1.5
199,644,285,0,1.75
200,269,111,38,2
201,292,0,28,1
202,129,220,24,1.25
203,228,343,23,1.5
204,792,802,118,1.75
205,732,782,121,2
206,300,234,35,1
207,895,448,0,1.25
208,676,220,14,1.5
209,666,788,121,1.75
210,181,318,22,2
211,458,297,12,1
212,714,764,120,1.25
213,536,322,10,1.5
214,671,823,119,1.75
215,596,405,14,2
216,632,403,0,1
217,713,299,0,1.25
218,793,279,0,1.5
219,554,408,11,1.75
220,371,148,37,2
221,264,166,37,1
222,162,236,23,1.25
223,549,377,16,1.5
224,95,340,24,1.75
225,745,282,0,2
226,737,1000,118,1
227,727,667,14,1.25
228,707,925,118,1.5
229,659,725,17,1.75
230,695,808,114,2
231,640,896,123,1
232,587,939,119,1.25
233,572,621,13,1.5
234,142,148,25,1.75
235,744,551,14,2
236,671,649,15,1
237,767,253,0,1.25
238,674,749,8,1.5
239,597,554,15,1.75
240,740,573,14,2
241,465,434,7,1
242,664,814,118,1.25
243,805,277,0,1.5
244,106,232,21,1.75
245,253,293,27,2
246,724,642,18,1
247,181,469,23,1.25
248,558,322,9,1.5
249,713,402,0,1.75
250,620,311,15,2
251,609,601,16,1
252,0,217,25,1.25
253,72,328,26,1.5
254,681,924,118,1.75
255,594,569,14,2
256,676,488,12,1
257,573,406,10,1.25
258,770,995,120,1.5
259,746,233,15,1.75
260,899,820,124,2
261,639,344,13,1
262,632,898,120,1.25
263,616,347,0,1.5
264,702,662,12,1.75
265,772,725,8,2
266,596,309,16,1
267,351,212,34,1.25
268,679,562,15,1.5
269,589,575,9,1.75
270,742,450,10,2
271,612,213,0,1
272,282,164,36,1.25
273,584,437,12,1.5
274,651,328,12,1.75
275,858,841,119,2
276,629,542,12,1
277,714,203,0,1.25
278,707,877,117,1.5
279,721,599,12,1.75
280,733,308,13,2
281,652,341,0,1
282,815,835,118,1.25
283,722,623,11,1.5
284,678,443,11,1.75
285,583,576,10,2
286,692,807,117,1
287,150,338,23,1.25
288,295,74,34,1.5
289,687,576,11,1.75
290,162,256,25,2
291,703,328,3,1
292,603,833,119,1.25
293,915,174,0,1.5
294,478,221,41,1.75
295,732,925,119,2
296,264,111,35,1
297,685,308,0,1.25
298,217,176,19,1.5
299,659,355,0,1.75
300,155,255,22,2
301,862,876,121,1
302,782,532,11,1.25
303,655,538,9,1.5
304,768,773,121,1.75
305,883,432,0,2
306,209,127,37,1
307,700,302,0,1.25
308,641,691,13,1.5
309,124,270,24,1.75
310,613,912,121,2
311,649,849,117,1
312,636,276,0,1.25
313,709,120,0,1.5
314,768,269,0,1.75
315,769,397,0,2
316,782,837,121,1
317,348,144,30,1.25
318,841,882,117,1.5
319,338,88,42,1.75
320,360,87,37,2
321,450,98,39,1
322,621,195,0,1.25
323,671,582,18,1.5
324,751,753,118,1.75
325,151,237,22,2
326,824,890,117,1
327,580,382,17,1.25
328,685,289,14,1.5
329,741,353,0,1.75
330,412,122,40,2
331,369,259,32,1
332,781,678,118,1.25
333,712,410,0,1.5
334,326,114,33,1.75
335,395,82,36,2
336,787,542,12,1
337,423,192,38,1.25
338,901,805,119,1.5
339,267,99,32,1.75
340,710,355,0,2
341,522,661,14,1
342,609,383,17,1.25
343,552,406,12,1.5
344,444,118,34,1.75
345,858,286,0,2
346,114,174,26,1
347,523,245,9,1.25
348,654,281,8,1.5
349,427,223,40,1.75
350,635,349,13,2
351,715,865,119,1
352,412,190,37,1.25
353,688,299,14,1.5
354,611,553,13,1.75
355,689,885,123,2
356,207,153,31,1
357,666,335,14,1.25
358,185,359,24,1.5
359,195,322,21,1.75
360,272,157,30,2
361,0,258,20,1
362,310,304,35,1.25
363,646,199,0,1.5
364,349,148,33,1.75
365,684,788,119,2
366,790,794,124,1
367,687,382,11,1.25
368,275,283,25,1.5
369,718,425,10,1.75
370,296,75,32,2
371,889,864,120,1
372,764,285,0,1.25
373,242,211,39,1.5
374,771,802,123,1.75
375,628,662,8,2
376,198,108,28,1
377,282,151,37,1.25
378,744,651,16,1.5
379,560,312,12,1.75
380,805,1000,121,2
381,636,344,0,1
382,219,225,27,1.25
383,301,113,38,1.5
384,639,286,10,1.75
385,680,342,0,2
386,196,183,32,1
387,548,709,14,1.25
388,631,538,15,1.5
389,345,154,29,1.75
390,774,620,10,2
391,982,540,18,1
392,423,590,24,1.25
393,373,275,24,1.5
394,877,862,0,1.75
395,527,116,0,2
396,536,594,12,1
397,499,234,0,1.25
398,678,814,18,1.5
399,926,656,0,1.75
400,31,964,12,2
401,977,646,24,1
402,583,800,12,1.25
403,906,498,0,1.5
404,943,452,18,1.75
405,354,905,12,2
406,213,447,0,1
407,532,204,0,1.25
408,889,765,0,1.5
409,269,304,18,1.75
410,936,497,24,2
411,861,341,0,1
412,296,901,0,1.25
413,40,945,0,1.5
414,610,630,0,1.75
415,606,556,18,2
416,371,325,24,1
417,124,713,0,1.25
418,724,499,18,1.5
419,198,87,24,1.75
420,926,314,6,2
421,852,971,0,1
422,135,82,0,1.25
423,432,58,0,1.5
424,474,173,6,1.75
425,993,922,12,2
426,296,283,0,1
427,271,898,24,1.25
428,817,812,18,1.5
429,724,137,18,1.75
430,550,98,18,2
431,335,114,12,1
432,820,759,12,1.25
433,95,471,6,1.5
434,672,939,0,1.75
435,905,649,6,2
436,707,731,12,1
437,186,902,18,1.25
438,672,655,0,1.5
439,516,35,0,1.75
440,217,411,24,2
441,269,882,24,1
442,191,140,0,1.25
443,871,172,0,1.5
444,915,200,18,1.75
445,735,600,24,2
446,713,912,0,1
447,245,17,0,1.25
448,265,364,0,1.5
449,10,662,6,1.75
450,215,304,18,2
451,500,878,0,1
452,529,403,0,1.25
453,306,714,6,1.5
454,481,836,6,1.75
455,414,272,12,2
456,991,938,0,1
457,457,803,0,1.25
458,996,972,0,1.5
459,540,4,6,1.75
460,764,181,6,2
461,600,656,24,1
462,439,414,0,1.25
463,753,206,0,1.5
464,901,407,0,1.75
465,653,764,0,2
466,846,850,0,1
467,495,19,18,1.25
468,403,758,6,1.5
469,601,504,24,1.75
470,665,989,0,2
471,540,542,6,1
472,32,881,0,1.25
473,691,975,24,1.5
474,379,238,18,1.75
475,859,556,0,2
476,924,344,0,1
477,213,694,0,1.25
478,426,269,0,1.5
479,753,197,24,1.75
480,367,838,24,2
481,416,88,0,1
482,798,361,24,1.25
483,666,621,24,1.5
484,1,156,24,1.75
485,235,115,18,2
486,992,545,0,1
487,106,677,0,1.25
488,698,452,0,1.5
489,244,114,0,1.75
490,371,279,12,2
491,283,324,0,1
492,947,964,0,1.25
493,515,60,0,1.5
494,530,258,18,1.75
495,325,212,6,2
496,278,191,0,1
497,381,761,12,1.25
498,695,260,0,1.5
499,750,718,12,1.75
500,921,554,0,2
